,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
153,Maruti Alto LXI,2004,98442.03088267277,60000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
154,Mahindra XUV500 W4,2014,758157.658537908,120000,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0
155,Toyota Fortuner 3.0 Diesel,2011,995248.5452974722,181000,Diesel,Individual,Manual,Second Owner,11.5 kmpl,2982 CC,171 bhp,343Nm@ 1400-3400rpm,7.0
156,Maruti Swift Vdi BSIII,2009,242346.42003678842,100000,Diesel,Individual,Manual,Second Owner,17.8 kmpl,1248 CC,75 bhp,190Nm@ 2000rpm,5.0
157,Hyundai EON Era Plus,2014,190723.6411497352,50000,Petrol,Individual,Manual,Third Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
158,Ford Ecosport 1.5 DV5 MT Titanium,2017,673084.2401687326,63982,Diesel,Dealer,Manual,First Owner,22.7 kmpl,1498 CC,89.84 bhp,204Nm@ 2000-2750rpm,5.0
159,Maruti Swift Dzire ZDi,2011,269299.1093740041,120000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0
160,Hyundai Accent Executive CNG,2012,388932.9660729,48000,CNG,Individual,Manual,First Owner,13.2 km/kg,1495 CC,93.7 bhp,124.5Nm@ 3500rpm,5.0
161,Hyundai Creta 1.6 CRDi Anniversary Edition,2016,859015.3524960751,39000,Diesel,Dealer,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0
162,Maruti Swift Dzire LDi,2011,277435.0885090603,90000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0
163,Hyundai Accent GLX,2003,153568.09383809942,90000,Petrol,Individual,Manual,Second Owner,13.2 kmpl,1495 CC,94 bhp,"12.5@ 3,500(kgm@ rpm)",5.0
164,Toyota Innova 2.5 E Diesel PS 7-Seater,2007,443815.7048741189,147500,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),7.0
165,Ambassador Grand 1500 DSZ BSIII,2008,197525.1173617623,60000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,1995 CC,52 bhp,106Nm@ 2200rpm,5.0
166,Tata Indigo CS LS (TDI) BS-III,2016,292816.76733139635,90000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5.0
167,Ford Figo Aspire 1.2 Ti-VCT Titanium,2017,413861.7755817927,80000,Petrol,Individual,Manual,First Owner,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5.0
168,Mahindra Bolero DI,2004,198933.62985386522,150000,Diesel,Individual,Manual,Second Owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7.0
169,Maruti Swift Dzire VDI,2017,644126.0546992599,25000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
170,Ford Endeavour 2.5L 4X2 MT,2004,484609.236098119,93415,Diesel,Dealer,Manual,First Owner,13.1 kmpl,2499 CC,141 bhp,330Nm@ 1800rpm,7.0
171,Maruti Swift VDI,2019,945064.5601933532,15000,Diesel,Individual,Manual,Second Owner,28.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
172,Hyundai i10 Magna,2010,189919.76751472818,106000,Petrol,Individual,Manual,Third Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0
173,Volkswagen Polo Diesel Highline 1.2L,2013,307617.74650877615,70000,Diesel,Individual,Manual,Second Owner,22.07 kmpl,1199 CC,73.9 bhp,180Nm@ 2000rpm,5.0
174,Hyundai i20 Sportz 1.2,2015,340250.12117582175,90000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
175,Mahindra TUV 300 T8,2016,673355.6226013203,71000,Diesel,Individual,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0
176,Honda City 2017-2020 GXi,2006,166452.51029358528,100000,Petrol,Individual,Manual,Second Owner,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5.0
177,Hyundai EON Sportz,2017,299851.7500937411,31000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
178,Hyundai i20 2015-2017 Magna 1.2,2017,469519.68342367996,30000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
179,Maruti Swift VXi BSIV,2006,179579.85986959684,93000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,1197 CC,85 bhp,"113Nm@ 4,500rpm",5.0
180,Tata Safari Storme EX,2017,899939.4657667294,60000,Diesel,Individual,Manual,First Owner,14.1 kmpl,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7.0
181,Maruti Vitara Brezza ZDi,2017,665361.7477085893,90000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
182,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2531864.310698232,9000,Diesel,Dealer,Automatic,First Owner,13.6 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0
183,Tata Sumo Gold EX BSIII,2015,429893.60858376516,75000,Diesel,Individual,Manual,First Owner,14.07 kmpl,2956 CC,69.01 bhp,223Nm@ 1600-2200rpm,7.0
184,Ford Figo Petrol Titanium,2010,144501.77626814193,120000,Petrol,Individual,Manual,Third Owner,15.6 kmpl,1196 CC,70 bhp,102Nm@ 4000rpm,5.0
185,Mahindra Bolero 2011-2019 SLX,2012,383952.2358325821,50000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0
186,Mahindra Xylo D4 BSIII,2013,471427.4985077214,300000,Diesel,Individual,Manual,First Owner,14.0 kmpl,2498 CC,112 bhp,260 Nm at 1800-2200 rpm,8.0
187,Hyundai EON Era Plus Sports Edition,2017,303142.12715946586,20000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
188,Hyundai i10 Sportz 1.1L,2010,186764.92986223206,70000,Petrol,Individual,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0
189,Ford Figo Titanium Diesel BSIV,2010,349652.9289888221,86017,Diesel,Dealer,Manual,Second Owner,25.5 kmpl,1498 CC,99.23 bhp,215Nm@ 1750-3000,5.0
190,Maruti Alto LXi,2008,115957.3201759787,70000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
191,Tata Tiago 1.2 Revotron XZ,2017,297625.5998815004,28000,Petrol,Individual,Manual,Second Owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0
192,Maruti Ritz VDi,2010,300226.8072821661,120000,Diesel,Individual,Manual,First Owner,21.1 kmpl,1248 CC,73.9 bhp,113Nm@ 4500rpm,5.0
193,Maruti Swift ZXI 2018,2018,662261.9132970267,15000,Petrol,Dealer,Manual,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
194,Maruti Swift VXI BSIV,2015,369604.0427450798,150546,Petrol,Dealer,Manual,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
195,Maruti Alto K10 LXI CNG,2019,697976.7546176622,20000,CNG,Individual,Manual,First Owner,32.26 km/kg,998 CC,58.3 bhp,78Nm@ 3500rpm,4.0
196,Maruti Ritz LXi,2016,350545.6145410415,82000,Petrol,Individual,Manual,Third Owner,18.5 kmpl,1197 CC,85.80 bhp,114Nm@ 4000rpm,5.0
197,Toyota Innova 2.5 G2,2005,439162.85958559345,120000,Diesel,Individual,Manual,First Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0
198,Honda City i-DTEC V,2019,1274985.8594978612,40000,Diesel,Individual,Manual,First Owner,25.6 kmpl,1498 CC,97.9 bhp,200Nm@ 1750rpm,5.0
199,Chevrolet Tavera Neo 3 LT 9 Seats BSIII,2014,425918.4844365281,50000,Diesel,Individual,Manual,First Owner,13.58 kmpl,2499 CC,72.4 bhp,171Nm@ 1800rpm,9.0
200,Maruti Swift AMT VVT VXI,2019,951228.4519970327,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
201,BMW X4 M Sport X xDrive20d,2019,4669328.95056532,8500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0
202,Honda City V MT,2013,440924.5068331665,32000,Petrol,Individual,Manual,First Owner,16.8 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5.0
203,Maruti Alto LXi,2012,155627.94055842192,111000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
204,Ford Ecosport 1.5 DV5 MT Titanium Optional,2014,397514.58306992333,132000,Diesel,Dealer,Manual,Second Owner,22.7 kmpl,1498 CC,89.84 bhp,204Nm@ 2000-2750rpm,5.0
205,Chevrolet Sail Hatchback Petrol,2013,228766.15753703984,46000,Petrol,Individual,Manual,First Owner,18.2 kmpl,1199 CC,84.8 bhp,113Nm@ 5000rpm,5.0
206,Maruti Swift ZXI,2014,344731.34073421196,50000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5.0
207,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2011,462273.66228155774,375000,Diesel,Individual,Manual,First Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0
208,Tata Indica Vista Aqua 1.3 Quadrajet (ABS),2012,206313.55480823165,80000,Diesel,Individual,Manual,Second Owner,,,,,
209,Hyundai Grand i10 1.2 CRDi Sportz,2017,613472.5581772838,56290,Diesel,Dealer,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5.0
210,Maruti Alto 800 LXI,2017,286243.2605367769,25000,Petrol,Individual,Manual,Second Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0
211,Jaguar XF 2.0 Diesel Portfolio,2017,2615481.673221935,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0
212,Mahindra Thar CRDe AC,2018,970269.1253204615,12000,Diesel,Dealer,Manual,First Owner,16.55 kmpl,2498 CC,105 bhp,247Nm@ 1800-2000rpm,6.0
213,Tata Tiago 1.05 Revotorq XZ WO Alloy,2016,302876.6321198893,100000,Diesel,Individual,Manual,First Owner,27.28 kmpl,1047 CC,69 bhp,140Nm@ 1800-3000rpm,5.0
214,Tata Indigo eCS LX BSIV,2012,204747.43609252293,35000,Diesel,Individual,Manual,Second Owner,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm,5.0
215,Toyota Innova 2.5 G2,2006,396939.6810038639,264000,Diesel,Individual,Manual,First Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0
216,Hyundai Verna 1.6 SX CRDi (O),2012,499262.12453218264,80000,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0
217,Ford Aspire Trend Plus,2018,590738.3969257356,13000,Petrol,Individual,Manual,First Owner,20.4 kmpl,1194 CC,94.93 bhp,120Nm@ 4250rpm,5.0
218,Maruti Eeco 7 Seater Standard BSIV,2018,600120.640902208,44000,Petrol,Individual,Manual,First Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,7.0
219,Chevrolet Beat LS,2013,189796.56363510122,70000,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1199 CC,79.4 bhp,108Nm@ 4400rpm,5.0
220,Hyundai i10 Magna 1.1L,2010,189565.178545114,55000,Petrol,Individual,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0
221,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2018,1007486.738132675,75000,Diesel,Individual,Automatic,First Owner,21.5 kmpl,1498 CC,108.5 bhp,250Nm@ 1500-3000rpm,5.0
222,Maruti Alto K10 LXI,2014,248929.36876817225,60000,Petrol,Individual,Manual,Second Owner,20.92 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
223,Maruti Swift VDI BSIV,2016,524390.6979736225,70000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
224,Hyundai Xcent 1.2 Kappa S Option,2014,293666.3878385502,46000,Petrol,Individual,Manual,Second Owner,19.1 kmpl,1197 CC,81.86 bhp,113.75Nm@ 4000rpm,5.0
225,Maruti Ciaz ZDi,2014,430054.57073743833,90000,Diesel,Individual,Manual,Second Owner,26.21 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
226,Nissan Micra XL,2011,221578.79873236688,43500,Petrol,Individual,Manual,Second Owner,18.06 kmpl,1198 CC,75 bhp,104Nm@ 4000rpm,5.0
227,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,519300.25635510474,90000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5.0
228,Maruti Alto K10 2010-2014 VXI,2011,220743.67028404502,46000,Petrol,Individual,Manual,First Owner,20.92 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
229,Maruti Alto 800 VXI,2014,214448.17646148143,25000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0
230,Maruti Ertiga SHVS ZDI Plus,2017,844424.6212607806,50000,Diesel,Individual,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0
231,Hyundai Grand i10 1.2 CRDi Sportz,2018,716732.2319653684,30000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5.0
232,Mahindra Scorpio M2DI,2012,391114.38369873265,120000,Diesel,Individual,Manual,Second Owner,13.5 kmpl,2179 CC,115 bhp,277.5Nm@ 1700-2200rpm,5.0
233,Maruti Swift ZDi,2014,402293.0861404296,90000,Diesel,Individual,Manual,First Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
234,Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2016,593377.1753522657,52000,Diesel,Individual,Manual,First Owner,23.65 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
235,Hyundai Grand i10 1.2 CRDi Sportz,2017,613472.5581772838,56290,Diesel,Dealer,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5.0
236,Tata Indica V2 2001-2011 DLS BSIII,2008,91618.84229770776,120000,Diesel,Individual,Manual,Fourth & Above Owner,17.88 kmpl,1396 CC,52.8 bhp,85Nm@ 2500rpm,5.0
237,Honda City 1.5 V MT,2011,325308.0889442664,93500,Petrol,Dealer,Manual,Third Owner,17.0 kmpl,1497 CC,118 bhp,146Nm at 4800 rpm,5.0
238,Toyota Camry 2.5 Hybrid,2016,1271703.8388009304,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,213Nm@ 4500rpm,5.0
239,Skoda Octavia Elegance 1.8 TSI AT,2017,931774.6308353788,33000,Petrol,Dealer,Automatic,Second Owner,14.7 kmpl,1798 CC,177.5 bhp,250Nm@ 1250-5000rpm,5.0
240,Tata Indica V2 DLE BSIII,2009,123185.07807843055,60000,Diesel,Individual,Manual,Second Owner,17.88 kmpl,1396 CC,52.8 bhp,85Nm@ 2500rpm,5.0
241,Renault KWID RXT,2018,388135.4951573786,30000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5.0
242,Honda Amaze S i-Dtech,2013,508222.8647447329,70000,Diesel,Individual,Manual,First Owner,25.8 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
243,Ford EcoSport 1.5 Petrol Titanium BSIV,2017,604349.6655194797,25000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1497 CC,121.31 bhp,150Nm@ 4500rpm,5.0
244,Skoda Kodiaq 2.0 TDI Style,2018,1807677.404978033,17601,Diesel,Dealer,Automatic,First Owner,16.25 kmpl,1968 CC,148 bhp,340nm@ 1750-3000rpm,7.0
245,Maruti Alto K10 VXI AGS,2019,711066.982113774,14000,Petrol,Individual,Automatic,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0
246,Maruti Alto 800 LXI,2015,231149.02519531825,50000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0
247,Hyundai i10 Magna,2009,192022.90871000555,110000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0
248,Maruti Ertiga ZDI,2013,511717.68947192654,60000,Diesel,Individual,Manual,First Owner,20.77 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm,7.0
249,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,821217.9775658379,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7.0
250,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2009,362607.4411598254,217000,Diesel,Individual,Manual,Fourth & Above Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0
251,Hyundai Verna 1.6 SX,2014,630740.5405074978,106000,Diesel,Individual,Manual,First Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0
252,Maruti Swift Dzire ZDI Plus,2017,629539.0485738743,70000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0
253,Tata Safari Storme EX,2015,658668.0626971823,110000,Diesel,Individual,Manual,First Owner,14.1 kmpl,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7.0
254,Hyundai Verna Transform CRDi VGT SX ABS,2010,272948.08199541597,190000,Diesel,Individual,Manual,Third Owner,16.2 kmpl,1493 CC,110 bhp,24 KGM at 1900-2750 RPM,5.0
255,Mahindra Scorpio 2009-2014 EX 2WD 9S,2014,486276.27289908513,50000,Diesel,Individual,Manual,Second Owner,14.0 kmpl,2523 CC,75 bhp,200Nm@ 1400-2200rpm,9.0
256,Tata New Safari Dicor VX 4X2 BS IV,2009,365928.2506570908,90000,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0
257,Tata Safari Storme VX,2014,521228.6468882947,86000,Diesel,Individual,Manual,Second Owner,14.0 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0
258,Renault KWID RXT,2016,278841.30270628794,30000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5.0
259,Tata Tiago 1.2 Revotron XZA,2019,555107.442346677,9200,Petrol,Individual,Automatic,First Owner,23.84 kmpl,1199 CC,83.83 bhp,114Nm@ 3500rpm,5.0
260,Ford Ecosport 1.5 Diesel Titanium,2015,530969.089196441,92651,Diesel,Dealer,Manual,First Owner,21.7 kmpl,1498 CC,98.96 bhp,215Nm@ 1750-2500rpm,5.0
261,Ford Figo 1.5D Titanium MT,2017,742328.3723600522,30000,Diesel,Individual,Manual,First Owner,25.83 kmpl,1498 CC,99 bhp,215Nm@ 1750-3000rpm,5.0
262,Hyundai Verna 1.6 SX,2011,513770.5380680016,80000,Diesel,Individual,Manual,First Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0
263,Hyundai Elite i20 Magna Plus BSIV,2019,751187.8601109502,10000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.86 bhp,117nm@ 4000rpm,5.0
264,Maruti 800 Std,2006,68735.7817878049,59000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
265,Honda Civic 1.8 V MT,2009,309413.8980124112,125000,Petrol,Individual,Manual,Second Owner,13.5 kmpl,1799 CC,130 bhp,172Nm@ 4300rpm,5.0
266,Mahindra Bolero SLX,2011,294744.95949898084,100000,Diesel,Individual,Manual,Second Owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7.0
267,Tata Tiago 1.2 Revotron XT,2018,386492.6553083285,50000,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0
268,Hyundai EON Magna Plus,2017,304649.665400089,15000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
269,Jaguar XF 2.0 Diesel Portfolio,2017,2615481.673221935,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0
270,Jaguar XF 2.0 Diesel Portfolio,2017,2615481.673221935,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0
271,Renault Fluence 2.0,2011,442193.373680759,43000,Petrol,Dealer,Automatic,First Owner,13.4 kmpl,1997 CC,135.1 bhp,190Nm@ 3700rpm,5.0
272,Maruti Ertiga SHVS VDI,2016,650337.5603192976,70000,Diesel,Individual,Manual,Second Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0
273,Renault KWID 1.0,2016,283218.1094270628,30000,Petrol,Individual,Manual,Third Owner,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5.0
274,Ford EcoSport 1.5 TDCi Titanium BSIV,2018,915878.5371144897,27620,Diesel,Dealer,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5.0
275,Ford EcoSport 1.5 Petrol Ambiente BSIV,2017,635662.7012608626,31596,Petrol,Dealer,Manual,First Owner,17.0 kmpl,1497 CC,121.36 bhp,150Nm@ 4500rpm,5.0
276,Honda City i-VTEC CVT ZX,2017,753503.3639155346,20000,Petrol,Individual,Automatic,First Owner,18.0 kmpl,1497 CC,117.6 bhp,145Nm@ 4600rpm,5.0
277,Mahindra XUV500 W8 4WD,2012,620708.0825982061,60000,Diesel,Individual,Manual,Second Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0
278,Tata Indigo CS LS (TDI) BS-III,2015,270213.498594093,52000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5.0
279,Hyundai i20 Sportz 1.4 CRDi,2015,525550.365387749,80000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0
280,Tata Manza Club Class Quadrajet90 VX,2013,243891.34974099605,189000,Diesel,Individual,Manual,First Owner,21.02 kmpl,1248 CC,88.76 bhp,200Nm@ 1750-3000rpm,5.0
281,Renault Duster 110PS Diesel RxL,2012,375226.23925911885,110000,Diesel,Individual,Manual,Second Owner,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5.0
282,Honda Jazz 1.2 V i VTEC,2018,701839.4457683795,8576,Petrol,Dealer,Manual,First Owner,18.7 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0
283,Honda Jazz VX,2016,492387.1557670342,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0
284,Hyundai i10 Era 1.1,2008,163784.44776228548,93331,Petrol,Individual,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0
285,Hyundai i10 Era,2008,174405.77866166423,30000,Petrol,Individual,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0
286,Mahindra Bolero Power Plus SLX,2017,569953.7131482334,60000,Diesel,Individual,Manual,First Owner,16.5 kmpl,1493 CC,70 bhp,195Nm@ 1400-2200rpm,7.0
287,Volkswagen Polo Select 1.2 MPI Highline,2010,219466.28584801676,44500,Petrol,Dealer,Manual,First Owner,16.47 kmpl,1198 CC,74 bhp,110Nm@ 3750rpm,5.0
288,Toyota Innova 2.5 V Diesel 7-seater,2011,478602.81341902824,291000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),7.0
289,Honda Jazz VX,2016,492387.1557670342,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0
290,Maruti Swift AMT VVT VXI,2019,951228.4519970327,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
291,Hyundai Grand i10 Sportz,2014,289315.43921531824,60000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5.0
292,Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2017,653715.2681551984,100000,Diesel,Individual,Manual,First Owner,23.65 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
293,Tata Indigo CS LS (TDI) BS III,2013,209252.19368090326,120000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5.0
294,Honda Jazz 1.5 V i DTEC,2016,729781.3403161042,30000,Diesel,Individual,Manual,First Owner,27.3 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
295,Hyundai Santro Xing XS eRLX Euro II,2003,144324.96282890168,68300,Petrol,Individual,Manual,Third Owner,,,,,
296,Maruti Swift VDI,2012,320972.2614242973,56000,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
297,Maruti Ertiga ZXI,2014,480940.48414631054,46100,Petrol,Dealer,Manual,First Owner,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7.0
298,Tata New Safari DICOR 2.2 EX 4x2,2011,380989.9308847538,140000,Diesel,Individual,Manual,Second Owner,11.57 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0
299,Jaguar XF 2.0 Diesel Portfolio,2017,2615481.673221935,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0
300,Mahindra XUV500 W10 2WD,2015,901385.3256515661,56975,Diesel,Individual,Manual,First Owner,16.0 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0
301,BMW X6 xDrive30d,2013,2088644.1439527115,56000,Diesel,Dealer,Automatic,First Owner,11.2 kmpl,2993 CC,241 bhp,540Nm@ 2000rpm,4.0
